client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953319.mp3	1c4fad8f124dc42ff33a35af7beb28cae951aea90e57e4256a1a5b480d7da35b	Aplinkui plyti pievos ir dirbami laukai.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953320.mp3	1ce92f65044bdc7d7a87613fd6cd6c7351e71eebf07eeb4540f87650d5644233	Marijampolės vartotojų kooperatyvo buhalteris.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953321.mp3	1d589b69efbfc71e3ce52ed26de631df2c5e9e584cfd8d94e14725b12d516778	Tais pačiais metai vykusiame pasaulio čempionate pelnytas aukso medalis kartu su Kinijos nacionaline komanda.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953322.mp3	1ca6e08425c99dc1d08d23306504168e32277061af9bd30a6f01ba4572f1b6f5	Iš saugomų paukščių rūšių draustinio teritorijoje peri kukučiai.		2	1	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953323.mp3	1dbe45634c572324767137a81d7517d877d2a0f9e43027be1af0c9c9aa1ebe02	Interneto robotai yra kompiuterinės programos.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953614.mp3	1938ca0b09a54b4ca00978c67c4bbefb897bc1a546c349024bb24a5ba9704c13	Jos autoriumi laikomas Deividas Rikardas.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953615.mp3	1aa61f327f7cb485c5c3a8fc6dcf0f8e859a5253eff2cc76833072d179181d27	Daug filmo frazių tapo labai populiariomis.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953616.mp3	1c08bc29bc8dec10d04fa3448be0a308319901f2735da4a51b7c183a43e56a98	Per gausius karinius konfliktas buvo gerokai apgadintas.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953617.mp3	1d8673ef9094498e9c3b57579f95b818203c21ae02ac054af1bff7c4e2566d2e	Pirmiausia nuskinti tabako lapai laikomi pavėsyje.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953618.mp3	1d1c677aaaab99c211e388244ebe3ea15597f438acb9fe5a2c3f7e1d22cd5f3c	Netikėtai užklupti turkai ėmė bėgti.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953655.mp3	1c3ede7962feb2ea65313a5d7c129554d669439e5dc301b567ad44e2f6fd5e91	Šiuo metu yra suregistruoti ir saugomi valstybės.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953657.mp3	1cf4caa92e0a72aaeb8c1851912eff80155bf217480ecbc7177e68af03319238	Prieš tai klubas žaidė nugriauto to paties pavadinimo stadiono vietoje.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953658.mp3	1db0e9293534b8edcc98a30cf3d37e3e1cd93a0fbaaca231b551b223ac3f3950	Ekspedicija trumpam sustojo prie Jukatano krantų.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953707.mp3	1c065bdcd20cc8ff506c0271e05daec903bc7fbb8bd62bba6ed8e2e429ba04a2	Klatrino baltymai yra labai konservatyvūs.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953708.mp3	1dab838c5a3d910eb69562b117cb13714eaa0cd2248cdc4f0539b969abddb90a	Vėliau iš jų susidarė Vytauto Didžiojo rinktinė.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953709.mp3	1d21c904d36aa40262d23f1d61d7961c4b96bb27d06741083829cecb46dd84b1	Tada Bardokas staigiai supyksta ir virsta super sajanu.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953711.mp3	1d48788941e500cbef9da7fa4f2c58da4a7daae4684d1daddb103417ee1e3e95	Pasikeitus klubo vadovybei atleistas iš šio klubo.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953750.mp3	1aa796d752250920330296331a5d603df2de56e2d6d58f744316b095332472d8	Paplitęs Centrinėje Amerikoje.		2	0	twenties	female_feminine			lt	
a4c84553c1f6ba486e89c5db34fe5afc1d5f223f90951c20b96ee91039b10712f4f1b885e3f8876e1a0ea9ec417df4980cf6016f03325b55be5d003de4fc26cd	common_voice_lt_36953752.mp3	1c05ce35eab69785703db495d2c3546411dc974d5966d7fbb889694d4f0a7345	Neteisinga darbą sukelia pasikeitusi šio bendro objekto būsena.		2	0	twenties	female_feminine			lt	
